         445860 function calls (441040 primitive calls) in 3.276 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      115    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
    115/5    0.002    0.000    0.222    0.044 <frozen importlib._bootstrap>:1022(_find_and_load)
      114    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpcore/_models.py:19(enforce_bytes)
    114/4    0.001    0.000    0.222    0.055 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      113    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:112(__init__)
      112    0.000    0.000    0.001    0.000 /usr/lib/python3.10/dataclasses.py:817(_set_qualname)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      111    0.002    0.000    0.033    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      109    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      109    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
      109    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      109    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
   107/20    0.003    0.000    0.008    0.000 /usr/lib/python3.10/sre_compile.py:87(_compile)
      106    0.000    0.000    0.000    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/typing_extensions.py:3024(<listcomp>)
      106    0.001    0.000    0.001    0.000 /usr/lib/python3.10/dataclasses.py:824(_set_new_attribute)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      104    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      104    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    104/4    0.001    0.000    0.220    0.055 <frozen importlib._bootstrap>:664(_load_unlocked)
      102    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
   102/99    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      102    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      102    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      101    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      101    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
      101    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      101    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      101    0.002    0.000    0.002    0.000 {built-in method io.open_code}
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      101    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      101    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      101    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    101/4    0.001    0.000    0.219    0.055 <frozen importlib._bootstrap_external>:877(exec_module)
      101    0.002    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      101    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      101    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      100    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       98    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
       98    0.000    0.000    0.000    0.000 /usr/lib/python3.10/dataclasses.py:645(_is_classvar)
       98    0.000    0.000    0.000    0.000 /usr/lib/python3.10/dataclasses.py:653(_is_initvar)
       98    0.000    0.000    0.000    0.000 /usr/lib/python3.10/dataclasses.py:659(_is_kw_only)
       90    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1242(__eq__)
       89    0.001    0.000    0.011    0.000 /usr/lib/python3.10/dataclasses.py:412(_create_fn)
       86    0.000    0.000    0.000    0.000 /usr/lib/python3.10/abc.py:7(abstractmethod)
       86    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:82(groups)
       85    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:470(__setattr__)
       83    0.000    0.000    0.002    0.000 /usr/lib/python3.10/typing.py:1143(<genexpr>)
       83    0.000    0.000    0.001    0.000 /usr/lib/python3.10/os.py:698(__iter__)
       83    0.000    0.000    0.001    0.000 /usr/lib/python3.10/_collections_abc.py:885(__iter__)
